Algoritmo,Caso,n,Tiempo_seg
NaivOnArray,Caso1,64,0.037903
NaivOnArray,Caso2,128,0.249423
NaivLoopUnrollingTwo,Caso1,64,0.197546
NaivLoopUnrollingTwo,Caso2,128,1.582542
NaivLoopUnrollingFour,Caso1,64,0.185858
NaivLoopUnrollingFour,Caso2,128,1.435467
WinogradOriginal,Caso1,64,0.214991
WinogradOriginal,Caso2,128,1.729167
WinogradScaled,Caso1,64,0.286617
WinogradScaled,Caso2,128,1.705394
StrassenNaiv,Caso1,64,0.482699
StrassenNaiv,Caso2,128,3.596202
StrassenWinograd,Caso1,64,0.432898
StrassenWinograd,Caso2,128,3.166861
SequentialBlock_III3,Caso1,64,0.003752
SequentialBlock_III3,Caso2,128,0.000761
ParallelBlock_III4,Caso1,64,0.001769
ParallelBlock_III4,Caso2,128,0.00883
EnhancedParallel_III5,Caso1,64,0.001451
EnhancedParallel_III5,Caso2,128,0.003823
SequentialBlock_IV3,Caso1,64,0.00017
SequentialBlock_IV3,Caso2,128,0.000861
ParallelBlock_IV4,Caso1,64,0.001721
ParallelBlock_IV4,Caso2,128,0.00915
EnhancedParallel_IV5,Caso1,64,0.001833
EnhancedParallel_IV5,Caso2,128,0.003526
SequentialBlock_V3,Caso1,64,0.000205
SequentialBlock_V3,Caso2,128,0.00085
ParallelBlock_V4,Caso1,64,0.001647
ParallelBlock_V4,Caso2,128,0.008938
